canonical_card_id,collector_number,canonical_name,listing_name,listing_url,edition_code,cardmarket_product_id,cardmarket_product_name,cardmarket_metacard_id,mapping_status,mapping_method,evidence,avg30,avg30_holo,price_snapshot_at
xy5-1,1,Weedle,Weedle,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Weedle-PRC1,,273532,Weedle [Multiply],340471,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='weedle'; canonical_terms=['multiply']; product_terms=['multiply'].,0.14,0.59,2026-07-26T02:44:32+0200
xy5-2,2,Kakuna,Kakuna,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Kakuna-PRC2,,273533,Kakuna [Bug Bite | Primal Clash],340472,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='kakuna'; canonical_terms=['bug bite']; product_terms=['bug bite'].,0.18,0.46,2026-07-26T02:44:32+0200
xy5-3,3,Beedrill,Beedrill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Beedrill-PRC3,,273534,Beedrill [Allergic Shock | Twineedle],340473,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='beedrill'; canonical_terms=['allergic shock', 'twineedle']; product_terms=['allergic shock', 'twineedle'].",0.75,1.83,2026-07-26T02:44:32+0200
xy5-4,4,Tangela,Tangela,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tangela-PRC4,,273535,Tangela [Absorb | Vine Whip],340146,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tangela'; canonical_terms=['absorb', 'vine whip']; product_terms=['absorb', 'vine whip'].",0.14,0.67,2026-07-26T02:44:32+0200
xy5-5,5,Tangrowth,Tangrowth,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tangrowth-PRC5,,273536,Tangrowth [Mega Drain | Grass Knot],340519,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tangrowth'; canonical_terms=['mega drain', 'grass knot']; product_terms=['mega drain', 'grass knot'].",0.43,0.81,2026-07-26T02:44:32+0200
xy5-6,6,Treecko,Treecko,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Treecko-PRC6,,273537,Treecko [Quick Attack],222510,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='treecko'; canonical_terms=['quick attack']; product_terms=['quick attack'].,0.24,1.72,2026-07-26T02:44:32+0200
xy5-7,7,Grovyle,Grovyle,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Grovyle-PRC7,,273538,Grovyle [Pound | Agility],340520,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='grovyle'; canonical_terms=['pound', 'agility']; product_terms=['pound', 'agility'].",0.47,2.13,2026-07-26T02:44:32+0200
xy5-8,8,Sceptile,Sceptile,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Sceptile-PRC8,,273539,Sceptile [Nurture and Heal | Jungle Edge],340521,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='sceptile'; canonical_terms=['nurture and heal', 'jungle edge']; product_terms=['nurture and heal', 'jungle edge'].",2.69,5.3,2026-07-26T02:44:32+0200
xy5-9,9,Sceptile,Sceptile,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Sceptile-PRC9,,273540,Sceptile [Leaf Blade | Power Poison],340522,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='sceptile'; canonical_terms=['leaf blade', 'power poison']; product_terms=['leaf blade', 'power poison'].",10.22,9.58,2026-07-26T02:44:32+0200
xy5-10,10,Lotad,Lotad,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Lotad-PRC10,,273541,Lotad [Beat],340474,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='lotad'; canonical_terms=['beat']; product_terms=['beat'].,0.16,0.63,2026-07-26T02:44:32+0200
